imagePath,title,caption
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\49791.jpg,Flying Machine Men Yellow Cap,"Yellow, Caps, for Men, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\6653.jpg,Nike Men's Air Force White Orange Shoe,"White, Casual Shoes, for Men, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46153.jpg,Adrika Brown Necklace,"Brown, Necklace and Chains, for Women, Ethnic, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\54338.jpg,Femella Women Blue Top,"Blue, Tops, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50390.jpg,Miss Sixty Black Dial Watch,"Black, Watches, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58269.jpg,Baggit Women Brown Handbag,"Brown, Handbags, for Women, Casual, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7713.jpg,Fila Men's Roller Black Silver Shoe,"Black, Casual Shoes, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\54578.jpg,Sushilas Women Printed Black Kurta,"Black, Kurtas, for Women, Ethnic, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\21426.jpg,Roxy Women Pink T-shirt,"Pink, Tshirts, for Women, Casual, Winter, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\45775.jpg,Remanika Women Navy Blue Top,"Blue, Tops, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\26589.jpg,Puma Men Powercat Black Sports Shoes,"Black, Sports Shoes, for Men, Sports, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\51545.jpg,Fastrack Women Sliver Dial Watch,"Silver, Watches, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\9051.jpg,ADIDAS Men Speed Boat Grey Sports Shoes,"Grey, Sports Shoes, for Men, Sports, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55094.jpg,Pond's Radiance Boosting Cleansing Mousse,"Gold, Face Wash and Cleanser, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55993.jpg,Colorbar Velvet Matte Summer Rain Lipstick 34 BR,"Purple, Lipstick, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7450.jpg,Proline Men Cream Striped Polo T-shirt,"Cream, Tshirts, for Men, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\17281.jpg,U.S. Polo Assn. Men Printed Steeple Grey Tshirt,"Grey, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\4449.jpg,Nike Unisex Dry Fit Navy Blue Cap,"Navy Blue, Caps, for Unisex, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\22268.jpg,Inc. 5 Women Casual Black Wedges,"Black, Heels, for Women, Casual, Winter, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\3256.jpg,Puma Men's Excurse Black Shoe,"Black, Casual Shoes, for Men, Casual, Fall, 2010"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\26953.jpg,Jealous 21 Women Pink Top,"Pink, Tops, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\49326.jpg,DKNY Women Black Dial Watch NY4620,"Black, Watches, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10499.jpg,Flying Machine Women Aspen Yellow Tshirts,"Yellow, Tshirts, for Women, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\37257.jpg,United Colors of Benetton Men Burgundy Shoes,"Burgundy, Casual Shoes, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19307.jpg,Nike Men Air Citius 2+ MSL White Sports Shoes,"Silver, Sports Shoes, for Men, Sports, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\20479.jpg,Baggit Women Flare Hoor Green Handbag,"Green, Handbags, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\29050.jpg,ADIDAS Men Printed Grey T-shirt,"Grey, Tshirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\23635.jpg,DC Comics Men White Printed T-shirt,"White, Tshirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\37099.jpg,Wills Lifetsyle Men Green Polo T-shirt,"Green, Tshirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\17722.jpg,Reid & Taylor Men Stripes Grey Shirt,"Grey, Shirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13515.jpg,Palm Tree Kids Girl Washed Blue Skirts,"Blue, Skirts, for Women, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10427.jpg,United Colors of Benetton Men Checks Red Shirts,"Red, Shirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59306.jpg,U.S. Polo Assn. Men White T-shirt,"White, Tshirts, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\43769.jpg,Royal Diadem Purple Earrings,"Purple, Earrings, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55296.jpg,Lakme Absolute Eye Chromatic Night Desire Baked Eye Shadow,"Purple, Eyeshadow, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\42129.jpg,Nike Men Black Air Visi Pro Sports Shoes,"Black, Sports Shoes, for Men, Sports, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\31282.jpg,Puma Men Bonn Graphic Green T-shirt,"Green, Tshirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\34311.jpg,Fabindia Women Green Silk & Wool Stole,"Green, Stoles, for Women, Ethnic, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50965.jpg,Enamor Lavender Smooth Bra,"Lavender, Bra, for Women, Casual, Summer, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13771.jpg,Belmonte Men Printed Grey Tshirts,"Grey, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\23925.jpg,Lotto Men Black Chamonix Sports Shoes,"Black, Sports Shoes, for Men, Sports, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\52880.jpg,FNF Printed Green Sari,"Green, Sarees, for Women, Ethnic, Fall, 2012"
